customer_id,customer_name,city
789101,vijay stores,surat
789102,vijay stores,ahmedabad
789103,vijay stores,vadodara
789121,coolblue,ahmedabad
789122,coolblue,vadodara
789201,rel fresh,surat
789202,rel fresh,ahmedabad
789203,rel fresh,vadodara
789220,atlas stores,surat
789221,atlas stores,ahmedabad
789301,expression stores,surat
789303,expression stores,vadodara
789320,chiptec stores,surat
789321,chiptec stores,ahmedabad
789401,propel mart,surat
789402,propel mart,ahmedabad
789403,propel mart,vadodara
789420,lotus mart,surat
789421,lotus mart,ahmedabad
789422,lotus mart,vadodara
789501,viveks stores,surat
789503,viveks stores,vadodara
789520,acclaimed stores,surat
789521,acclaimed stores,ahmedabad
789522,acclaimed stores,vadodara
789601,info stores,surat
789603,info stores,vadodara
789621,expert mart,ahmedabad
789622,expert mart,vadodara
789702,sorefoz mart,ahmedabad
789703,sorefoz mart,vadodara
789720,logic stores,surat
789721,logic stores,ahmedabad
789902,elite mart,ahmedabad
789903,elite mart,vadodara
